message_id,parent_id,text,date,timestamp,sender
r6i2uRQI,,"<sender>David</sender>Hi, what's up?",21.02.20,15:39:01,David
WLyp3jeM,r6i2uRQI,<sender>Luca</sender>Watching a movie right now,21.02.20,15:39:35,Luca
PzfafU4x,WLyp3jeM,"<sender>David</sender>Cool, what movie are you watching?",21.02.20,15:40:05,David
tqjs7Vdg,PzfafU4x,<sender>Luca</sender>It's a sci-fi,21.02.20,15:40:45,Luca
cXbDNev2,tqjs7Vdg,<sender>David</sender>I love sci-fi movies. What's the name of it?,21.02.20,15:41:15,David
xdcAFxRo,cXbDNev2,<sender>Luca</sender>It's called Interstellar. Have you seen it?,21.02.20,15:41:55,Luca
Xlj5Wfjb,xdcAFxRo,"<sender>David</sender>Yes, I have. It's one of my favorites. I really liked the concept of time dilation and wormholes.",21.02.20,15:42:25,David
JYYUfKVv,Xlj5Wfjb,<sender>Luca</sender>Me too. It's very fascinating and mind-blowing. I'm at the part where they land on the water planet.,21.02.20,15:43:05,Luca
jgXeZwIF,JYYUfKVv,"<sender>David</sender>Oh, that's a tense scene. Be careful, there might be a big wave coming.",21.02.20,15:43:35,David
a5m30BHm,jgXeZwIF,"<sender>Luca</sender>Haha, thanks for the warning. I'll talk to you later, I don't want to miss anything.",21.02.20,15:44:05,Luca
JLDv1K4c,a5m30BHm,"<sender>David</sender>Sure, no problem. Enjoy the movie. Bye for now.",21.02.20,15:44:35,David
PRo7p0tB,JLDv1K4c,"<sender>Luca</sender>Bye, David. Thanks for chatting with me.",21.02.20,15:45:05,Luca
EBcZGpoH,PRo7p0tB,"<sender>David</sender>Cool, what movie are you watching?",21.02.20,15:40:05,David
4I5Rym4l,EBcZGpoH,<sender>Luca</sender>It's a sci-fi,21.02.20,15:40:45,Luca
xfhljNSM,4I5Rym4l,<sender>David</sender>I love sci-fi movies. What's the name of it?,21.02.20,15:41:15,David
o0tqnG1Q,xfhljNSM,<sender>Luca</sender>It's called Interstellar. Have you seen it?,21.02.20,15:41:55,Luca
aEPCbmcz,o0tqnG1Q,"<sender>David</sender>No, I haven't. What's it about?",21.02.20,15:42:25,David
ILzXjwjJ,aEPCbmcz,<sender>Luca</sender>It's about a team of astronauts who travel through a wormhole in search of a new home for humanity.,21.02.20,15:43:05,Luca
vg72jTSt,ILzXjwjJ,"<sender>David</sender>Wow, that sounds interesting. Is it based on a book or something?",21.02.20,15:43:35,David
4BZVkbwB,vg72jTSt,"<sender>Luca</sender>No, it's an original story by Christopher Nolan and his brother Jonathan Nolan.",21.02.20,15:44:05,Luca
h66fB7Zy,4BZVkbwB,<sender>David</sender>I see. They are very talented filmmakers. I liked their other movies like Inception and The Dark Knight.,21.02.20,15:44:35,David
noFzUSFV,h66fB7Zy,<sender>Luca</sender>Me too. They always have amazing visuals and complex plots.,21.02.20,15:45:05,Luca
bOMFiWC6,noFzUSFV,"<sender>David</sender>Yeah, they do. Well, I don't want to disturb you any longer. Enjoy the movie and let me know what you think of it later.",21.02.20,15:45:35,David
aLPGgvel,bOMFiWC6,"<sender>Luca</sender>Sure, I will. Thanks for chatting with me, David. Have a nice day.",21.02.20,15:46:05,Luca
gdllI6Om,aLPGgvel,"<sender>David</sender>You're welcome, Luca. You too. Bye for now.",21.02.20,15:46:35,David
SyMy8r2O,gdllI6Om,"<sender>Luca</sender>Bye, David. Talk to you soon.[21.02.20, 15:39:01] David: Hi, what's up?",21.02.20,15:47:05,Luca
lIG6dy9w,SyMy8r2O,<sender>Luca</sender>Watching a movie right now,21.02.20,15:39:35,Luca
